Alpha: 0.01, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.01006221999583791, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010124827124464029, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.0101878237946184, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.01025121243002825, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010314995469501242, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010379175367019284, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010443754591832976, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010508735628556575, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010574120977263622, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010639913153583116, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010706114688796281, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.01077272812993399, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010839756039874736, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010907200997443231, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.010975065597509647, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.011043352451089434, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.01111206418544377, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.011181203444180656, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.011250772887356637, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.011320775191579095, Mean Test Score: 0.8810572687224669, Std Test Score: 0.0
Alpha: 0.011391213050109296, Mean Test Score: 0.8788546255506609, Std Test Score: 0.002202643171806129
Alpha: 0.011462089172965949, Mean Test Score: 0.8788546255506609, Std Test Score: 0.002202643171806129
Alpha: 0.011533406287029518, Mean Test Score: 0.8788546255506609, Std Test Score: 0.002202643171806129
Alpha: 0.011605167136147112, Mean Test Score: 0.8788546255506609, Std Test Score: 0.002202643171806129
Alpha: 0.011677374481238042, Mean Test Score: 0.8788546255506609, Std Test Score: 0.002202643171806129
